page,type,x0,y0,x1,y1,width,height,area,source
1,fs,1054.43994140625,193.9200439453125,1059.1199951171875,194.2200469970703,4.6800537109375,0.3000030517578125,1.4040303956717253,vector
1,fs,1052.8199462890625,194.2200927734375,1058.7598876953125,200.2200927734375,5.93994140625,6.0,35.6396484375,vector
1,fs,1054.43994140625,194.2200927734375,1058.8199462890625,194.28009033203125,4.3800048828125,0.05999755859375,0.26278959959745407,vector
1,fs,334.5,1144.5,340.3800048828125,1150.43994140625,5.8800048828125,5.93994140625,34.92688447237015,vector
1,fs,334.3800048828125,1150.43994140625,340.3800048828125,1150.5,6.0,0.06005859375,0.3603515625,vector
1,fs,334.1399841308594,1150.5,338.7599792480469,1150.739990234375,4.6199951171875,0.239990234375,1.1087537109851837,vector
1,fs,333.65997314453125,1150.739990234375,337.1999816894531,1151.219970703125,3.540008544921875,0.47998046875,1.699134960770607,vector
1,fs,333.0599670410156,1151.219970703125,335.6999816894531,1151.8199462890625,2.6400146484375,0.5999755859375,1.5839443355798721,vector
1,fs,332.27996826171875,1151.820068359375,334.1999816894531,1152.60009765625,1.920013427734375,0.780029296875,1.4976667240262032,vector
1,fs,330.29998779296875,1152.60009765625,332.2799987792969,1154.580078125,1.980010986328125,1.97998046875,3.920383080840111,vector
1,fs,331.5,1152.60009765625,332.82000732421875,1153.5001220703125,1.32000732421875,0.9000244140625,1.188038818538189,vector
1,fs,328.97998046875,1154.580078125,330.29998779296875,1155.9000244140625,1.32000732421875,1.3199462890625,1.7423387691378593,vector
1,fs,327.6000061035156,1155.9000244140625,329.1600036621094,1157.280029296875,1.55999755859375,1.3800048828125,2.152804248034954,vector
1,fs,326.03997802734375,1157.280029296875,328.1999816894531,1158.840087890625,2.160003662109375,1.56005859375,3.3697322756052017,vector
1,fs,324.47998046875,1158.840087890625,327.3599853515625,1160.400146484375,2.8800048828125,1.56005859375,4.492976367473602,vector
1,fs,322.79998779296875,1160.4000244140625,326.7599792480469,1162.080078125,3.959991455078125,1.6800537109375,6.652998339384794,vector
1,fs,321.05999755859375,1162.080078125,326.3399963378906,1163.820068359375,5.279998779296875,1.739990234375,9.187146313488483,vector
